iter	Logloss
0	0.5329131184
1	0.4218712038
2	0.3513014288
3	0.3002010417
4	0.266593027
5	0.2418524358
6	0.223948137
7	0.2110471201
8	0.2002055392
9	0.1920646566
10	0.1858234849
11	0.1814417171
12	0.1774236896
13	0.1739638
14	0.1707028203
15	0.1681706388
16	0.1657896356
17	0.1641704478
18	0.1628369814
19	0.1614692842
20	0.1600753213
21	0.1586087451
22	0.1574963393
23	0.156651456
24	0.1561050221
25	0.1555241604
26	0.1549027767
27	0.1540649125
28	0.1533306054
29	0.1528756685
30	0.1521944638
31	0.151719428
32	0.1512379518
33	0.1507626298
34	0.1503049484
35	0.1498671476
36	0.1494016885
37	0.1490750289
38	0.1485107556
39	0.1481442779
40	0.1477365932
41	0.1474949143
42	0.1472521482
43	0.1469455814
44	0.1465971706
45	0.1463220139
46	0.1460710498
47	0.1456857722
48	0.1453661849
49	0.1451538963
50	0.1448288886
51	0.1445941607
52	0.1440213941
53	0.1438296092
54	0.1435875158
55	0.1432527515
56	0.1430214996
57	0.1427282571
58	0.1423651669
59	0.142143341
60	0.1419072009
61	0.1416435416
62	0.141487045
63	0.1413172609
64	0.1411306534
65	0.1407675863
66	0.1404608192
67	0.1402859437
68	0.1400476248
69	0.139807416
70	0.1395935475
71	0.1393316096
72	0.1389644173
73	0.1386670835
74	0.1384780889
75	0.1383441022
76	0.138152511
77	0.1379506114
78	0.1377444228
79	0.1375147744
80	0.1372656226
81	0.1370686717
82	0.1368040049
83	0.1365875964
84	0.1363640503
85	0.1360677122
86	0.1359611575
87	0.1358102941
88	0.1355789293
89	0.1353987209
90	0.1351240627
91	0.1348973372
92	0.1346598589
93	0.1344778818
94	0.1342717247
95	0.1341145764
96	0.1338906007
97	0.1336664871
98	0.1333115969
99	0.1330659518
100	0.1327326889
101	0.1325238656
102	0.1322722291
103	0.1319945219
104	0.131843587
105	0.1317044771
106	0.131547795
107	0.1313269638
108	0.1310287039
109	0.1308922566
110	0.1306503873
111	0.1305429285
112	0.1303617866
113	0.1300898277
114	0.1297618956
115	0.1295802834
116	0.1294675
117	0.1292542552
118	0.1289463193
119	0.1287623737
120	0.1285653751
121	0.1283986612
122	0.1282147645
123	0.1280908242
124	0.1278876542
125	0.1277694903
126	0.1275777392
127	0.1274261393
128	0.127244432
129	0.1270777357
130	0.1268544907
131	0.1265731164
132	0.126308445
133	0.1261283529
134	0.126002468
135	0.1258400351
136	0.1256911442
137	0.1255573207
138	0.1253721527
139	0.1251255274
140	0.1248904491
141	0.1247431082
142	0.1245018385
143	0.1243521294
144	0.1241363695
145	0.1239684156
146	0.1238457559
147	0.1236154305
148	0.1234466105
149	0.1233298094
150	0.1231073962
151	0.1228903214
152	0.1227037469
153	0.1226012624
154	0.1223344616
155	0.1221220226
156	0.1218975811
157	0.1216333015
158	0.121494461
159	0.1211903227
160	0.1210354424
161	0.1208826472
162	0.1206892623
163	0.1204646175
164	0.1202223888
165	0.1200600901
166	0.119909513
167	0.1198332858
168	0.1197462958
169	0.1195756448
170	0.1194291743
171	0.1193205248
172	0.1191769037
173	0.1189534071
174	0.1188229627
175	0.1185974557
176	0.1184457059
177	0.1181895062
178	0.1180496113
179	0.117984337
180	0.1178358254
181	0.1176185816
182	0.1174959467
183	0.1173296408
184	0.1171062507
185	0.1170330747
186	0.1167979742
187	0.1166426123
188	0.1165493083
189	0.1163605509
190	0.1163118519
191	0.1160831307
192	0.1160059001
193	0.1157806006
194	0.1156438198
195	0.1156006918
196	0.1154760012
197	0.1153509021
198	0.115197427
199	0.1150796106
200	0.1149646081
201	0.1147874189
202	0.1147023489
203	0.1146260177
204	0.1145105928
205	0.1143484367
206	0.1141361371
207	0.1140174251
208	0.1137756288
209	0.1136675427
210	0.1135129001
211	0.1134434895
212	0.1132148531
213	0.1130802095
214	0.1129251372
215	0.1127980254
216	0.1127235438
217	0.1125495695
218	0.1123726127
219	0.1122480761
220	0.1121072508
221	0.1119290888
222	0.1117619009
223	0.1115406236
224	0.11141822
225	0.1112295074
226	0.1110525261
227	0.1109734274
228	0.1107600137
229	0.1105412796
230	0.1103430367
231	0.1101749208
232	0.1101045689
233	0.1099076479
234	0.1097745845
235	0.1095599755
236	0.1093896989
237	0.1092590257
