iter	Passed	Remaining
0	60	30099
1	63	15771
2	66	10944
3	68	8534
4	71	7081
5	74	6098
6	76	5381
7	79	4862
8	81	4454
9	84	4126
10	87	3872
11	89	3643
12	92	3451
13	94	3285
14	97	3147
15	100	3025
16	102	2917
17	105	2817
18	107	2726
19	110	2644
20	112	2570
21	115	2506
22	117	2445
23	120	2388
24	122	2336
25	125	2291
26	128	2249
27	131	2216
28	134	2179
29	136	2141
30	139	2109
31	141	2076
32	144	2044
33	147	2017
34	149	1991
35	152	1964
36	154	1937
37	157	1915
38	160	1894
39	162	1871
40	165	1849
41	167	1828
42	170	1807
43	172	1790
44	175	1772
45	177	1754
46	180	1735
47	182	1719
48	185	1703
49	187	1689
50	190	1676
51	193	1663
52	195	1648
53	197	1635
54	200	1623
55	203	1611
56	205	1600
57	208	1588
58	210	1577
59	213	1565
60	216	1554
61	218	1543
62	221	1533
63	223	1522
64	226	1513
65	228	1503
66	230	1492
67	233	1483
68	236	1474
69	239	1468
70	241	1460
71	244	1451
72	246	1443
73	249	1435
74	251	1427
75	254	1419
76	257	1412
77	259	1406
78	262	1398
79	264	1390
80	267	1384
81	269	1375
82	272	1370
83	275	1363
84	277	1356
85	280	1348
86	282	1340
87	284	1333
88	287	1328
89	290	1321
90	292	1314
91	295	1308
92	297	1302
93	300	1296
94	302	1290
95	305	1283
96	307	1278
97	310	1272
98	312	1266
99	315	1260
100	317	1256
101	320	1250
102	322	1244
103	325	1239
104	327	1233
105	330	1228
106	332	1222
107	335	1218
108	338	1213
109	340	1207
110	342	1201
111	345	1195
112	347	1190
113	350	1186
114	352	1181
115	355	1176
116	357	1171
117	360	1166
118	362	1161
119	365	1156
120	367	1152
121	370	1147
122	372	1142
123	375	1137
124	377	1133
125	380	1130
126	383	1125
127	386	1122
128	388	1117
129	391	1113
130	393	1109
131	396	1105
132	399	1101
133	401	1096
134	403	1092
135	406	1088
136	409	1083
137	411	1079
138	414	1075
139	416	1071
140	419	1067
141	421	1063
142	424	1058
143	426	1054
144	429	1050
145	431	1046
146	434	1042
147	436	1038
148	439	1035
149	441	1031
150	444	1027
151	447	1023
152	449	1019
153	452	1015
154	454	1012
155	457	1008
156	459	1004
157	461	1000
158	464	996
159	467	993
160	469	989
161	472	985
162	475	982
163	477	978
164	480	974
165	482	970
166	485	967
167	487	963
168	490	960
169	493	957
170	495	953
171	497	949
172	500	946
173	503	943
174	506	940
175	508	936
176	511	933
177	514	929
178	516	926
179	519	922
180	521	919
181	524	916
182	527	913
183	529	909
184	532	906
185	534	903
186	537	899
187	540	896
188	542	892
189	545	890
190	548	886
191	550	883
192	553	879
193	555	876
194	558	873
195	560	870
196	563	866
197	566	863
198	568	859
199	570	856
200	573	852
201	575	849
202	578	846
203	580	842
204	583	839
205	586	836
206	588	833
207	591	829
208	593	826
209	596	824
210	599	820
211	601	817
212	604	814
213	606	811
214	609	807
215	611	804
216	614	801
217	617	798
218	619	794
219	622	791
220	624	788
221	627	785
222	630	782
223	633	780
224	635	776
225	638	773
226	640	770
227	643	767
228	645	764
229	648	760
230	650	757
231	653	754
232	655	751
233	658	748
234	660	745
235	663	742
236	666	739
237	668	736
238	671	733
239	673	730
240	676	726
241	679	724
242	681	721
243	684	718
244	687	715
245	690	712
246	692	709
247	695	706
248	697	703
249	700	700
250	702	697
251	705	694
252	708	691
253	710	688
254	713	685
255	715	682
256	718	679
257	720	676
258	723	673
259	726	670
260	728	667
261	731	664
262	733	661
263	736	658
264	738	654
265	740	651
266	743	648
267	746	645
268	748	642
269	751	639
270	753	636
271	756	633
272	758	631
273	761	628
274	764	625
275	766	622
276	769	619
277	771	616
278	774	613
279	776	610
280	779	607
281	781	604
282	784	601
283	787	598
284	789	595
285	792	592
286	794	589
287	797	586
288	799	583
289	802	580
290	804	578
291	807	575
292	810	572
293	812	569
294	815	566
295	818	563
296	820	560
297	823	558
298	825	555
299	828	552
300	831	549
301	833	546
302	836	543
303	839	541
304	841	538
305	844	535
306	847	532
307	849	529
308	852	526
309	855	524
310	857	521
311	860	518
312	862	515
313	864	512
314	867	509
315	870	506
316	872	503
317	875	500
318	877	497
319	880	495
320	882	492
321	885	489
322	888	486
323	890	483
324	893	481
325	896	478
326	898	475
327	901	472
328	903	469
329	906	466
330	909	464
331	911	461
332	914	458
333	916	455
334	918	452
335	921	449
336	923	446
337	926	443
338	928	441
339	931	438
340	933	435
341	936	432
342	939	429
343	941	427
344	944	424
345	946	421
346	949	418
347	951	415
348	954	412
349	956	410
350	959	407
351	962	404
352	964	401
353	967	398
354	970	396
355	972	393
356	975	390
357	978	387
358	981	385
359	984	382
360	987	380
361	990	377
362	993	375
363	996	372
364	1000	369
365	1002	367
366	1005	364
367	1007	361
368	1010	358
369	1013	355
370	1015	353
371	1018	350
372	1020	347
373	1023	344
374	1025	341
375	1028	339
376	1030	336
377	1033	333
378	1036	330
379	1038	328
380	1041	325
381	1043	322
382	1046	319
383	1048	316
384	1051	314
385	1054	311
386	1056	308
387	1059	305
388	1061	302
389	1063	300
390	1066	297
391	1069	294
392	1071	291
393	1074	288
394	1076	286
395	1079	283
396	1081	280
397	1084	277
398	1086	275
399	1089	272
400	1092	269
401	1094	266
402	1097	264
403	1099	261
404	1102	258
405	1104	255
406	1107	253
407	1110	250
408	1112	247
409	1115	244
410	1118	242
411	1120	239
412	1123	236
413	1126	233
414	1128	231
415	1132	228
416	1135	226
417	1139	223
418	1143	220
419	1145	218
420	1149	215
421	1152	213
422	1156	210
423	1159	207
424	1162	205
425	1165	202
426	1169	199
427	1171	197
428	1174	194
429	1176	191
430	1179	188
431	1181	185
432	1183	183
433	1186	180
434	1188	177
435	1191	174
436	1194	172
437	1196	169
438	1199	166
439	1202	163
440	1204	161
441	1207	158
442	1210	155
443	1212	152
444	1215	150
445	1217	147
446	1219	144
447	1222	141
448	1225	139
449	1228	136
450	1230	133
451	1233	130
452	1235	128
453	1238	125
454	1240	122
455	1243	119
456	1245	117
457	1248	114
458	1250	111
459	1253	108
460	1255	106
461	1258	103
462	1261	100
463	1263	98
464	1266	95
465	1269	92
466	1272	89
467	1274	87
468	1277	84
469	1279	81
470	1282	78
471	1284	76
472	1287	73
473	1289	70
474	1292	68
475	1294	65
476	1297	62
477	1299	59
478	1302	57
479	1304	54
480	1307	51
481	1310	48
482	1312	46
483	1315	43
484	1318	40
485	1320	38
486	1323	35
487	1326	32
488	1329	29
489	1331	27
490	1334	24
491	1337	21
492	1339	19
493	1342	16
494	1345	13
495	1347	10
496	1350	8
497	1352	5
498	1355	2
499	1357	0
